LA Code,LA Name,,2011/12,2012/13
E09000002,Barking and Dagenham,,0.50%,0.50%
E09000003,Barnet,,0.30%,0.40%
E09000004,Bexley,,0.40%,0.40%
E09000005,Brent,,0.50%,0.90%
E09000006,Bromley,,0.50%,0.40%
E09000007,Camden,,0.70%,0.70%
E09000008,Croydon,,0.90%,0.80%
E09000009,Ealing,,0.80%,0.80%
E09000010,Enfield,,0.50%,0.50%
E09000011,Greenwich,,0.50%,0.50%
E09000012,Hackney,,0.80%,0.90%
E09000013,Hammersmith and Fulham,,0.90%,1.10%
E09000014,Haringey,,0.50%,0.60%
E09000015,Harrow,,0.40%,0.50%
E09000016,Havering,,0.40%,0.30%
E09000017,Hillingdon,,0.70%,0.70%
E09000018,Hounslow,,0.90%,0.90%
E09000019,Islington,,0.50%,0.60%
E09000020,Kensington and Chelsea,,0.70%,0.70%
E09000021,Kingston upon Thames,,0.50%,0.60%
E09000022,Lambeth,,1.00%,1.10%
E09000023,Lewisham,,0.80%,0.80%
E09000024,Merton,,0.80%,0.80%
E09000025,Newham,,0.70%,0.70%
E09000026,Redbridge,,0.30%,0.40%
E09000027,Richmond upon Thames,,0.40%,0.40%
E09000028,Southwark,,1.10%,1.10%
E09000029,Sutton,,0.80%,0.80%
E09000030,Tower Hamlets,,0.90%,0.90%
E09000031,Waltham Forest,,0.50%,0.60%
E09000032,Wandsworth,,0.70%,0.70%
E09000033,Westminster,,0.80%,0.80%
 ,,,,
E12000001,North East,,0.40%,0.40%
E12000002,North West,,0.70%,0.70%
E12000003,Yorkshire and The Humber,,0.70%,0.70%
E12000004,East Midlands,,0.30%,0.30%
E12000005,West Midlands,,0.20%,0.20%
E12000006,East of England,,0.30%,0.30%
E12000007,London,,0.60%,0.70%
E12000008,South East,,0.40%,0.30%
E12000009,South West,,0.60%,0.50%
 ,,,,
E92000001,England,,0.50%,0.50%
 ,,,,
 ,,,,
 ,,,,
